source_family,conference,year,committee_type,source_url,final_url,status,local_html_path,rows_found
EPC/ERC page,OOPSLA,2020,ERC,https://2020.splashcon.org/committee/splash-2020-oopsla-external-review-committee,https://2020.splashcon.org/committee/splash-2020-oopsla-external-review-committee,fetched,step_1_data/raw/oopsla/researchr_erc_htmls/oopsla2020_erc_2026-06-09.html,61
EPC/ERC page,OOPSLA,2021,ERC,https://2021.splashcon.org/committee/splash-2021-oopsla-external-review-committee,https://2021.splashcon.org/committee/splash-2021-oopsla-external-review-committee,fetched,step_1_data/raw/oopsla/researchr_erc_htmls/oopsla2021_erc_2026-06-09.html,53
EPC/ERC page,OOPSLA,2022,ERC,https://2022.splashcon.org/committee/splash-2022-oopsla-external-review---artifact-evaluation-committee,https://2022.splashcon.org/committee/splash-2022-oopsla-external-review---artifact-evaluation-committee,fetched,step_1_data/raw/oopsla/researchr_erc_htmls/oopsla2022_erc_2026-06-09.html,40
EPC/ERC page,OOPSLA,2023,ERC,https://2023.splashcon.org/committee/splash-2023-oopsla-external-review---artifact-evaluation-committee,https://2023.splashcon.org/committee/splash-2023-oopsla-external-review---artifact-evaluation-committee,fetched,step_1_data/raw/oopsla/researchr_erc_htmls/oopsla2023_erc_2026-06-09.html,60
EPC/ERC page,OOPSLA,2024,ERC,,,no_page,,0
EPC/ERC page,OOPSLA,2025,ERC,https://2025.splashcon.org/committee/splash-2025-OOPSLA-1-external-review---artifact-evaluation-committee,https://2025.splashcon.org/committee/splash-2025-OOPSLA-1-external-review---artifact-evaluation-committee,fetched,step_1_data/raw/oopsla/researchr_erc_htmls/oopsla2025_erc_2026-06-09.html,0
EPC/ERC page,PLDI,2017,ERC,https://pldi17.sigplan.org/committee/pldi-2017-external-review-committee,https://pldi17.sigplan.org/committee/pldi-2017-external-review-committee,fetched,step_1_data/raw/pldi/researchr_erc_htmls/pldi2017_erc_2026-06-09.html,47
EPC/ERC page,PLDI,2018,ERC,https://pldi18.sigplan.org/committee/pldi-2018-external-review-committee,https://pldi18.sigplan.org/committee/pldi-2018-external-review-committee,fetched,step_1_data/raw/pldi/researchr_erc_htmls/pldi2018_erc_2026-06-09.html,52
EPC/ERC page,PLDI,2019,ERC,https://pldi19.sigplan.org/committee/pldi-2019-papers-external-review-committee,https://pldi19.sigplan.org/committee/pldi-2019-papers-external-review-committee,fetched,step_1_data/raw/pldi/researchr_erc_htmls/pldi2019_erc_2026-06-09.html,50
EPC/ERC page,PLDI,2020,ERC,https://pldi20.sigplan.org/committee/pldi-2020-papers-external-review-committee,https://pldi20.sigplan.org/committee/pldi-2020-papers-external-review-committee,fetched,step_1_data/raw/pldi/researchr_erc_htmls/pldi2020_erc_2026-06-09.html,52
EPC/ERC page,PLDI,2021,ERC,,,no_page,,0
EPC/ERC page,PLDI,2022,ERC,,,no_page,,0
EPC/ERC page,PLDI,2023,ERC,,,no_page,,0
EPC/ERC page,PLDI,2024,ERC,,,no_page,,0
EPC/ERC page,PLDI,2025,ERC,,,no_page,,0
EPC/ERC page,POPL,2017,ERC,https://popl17.sigplan.org/committee/popl-2017-papers-external-review-committee,https://popl17.sigplan.org/committee/popl-2017-papers-external-review-committee,fetched,step_1_data/raw/popl/researchr_erc_htmls/popl2017_erc_2026-06-09.html,59
EPC/ERC page,POPL,2018,ERC,,,no_page,,0
EPC/ERC page,POPL,2019,ERC,,,no_page,,0
EPC/ERC page,POPL,2020,ERC,,,no_page,,0
EPC/ERC page,POPL,2021,ERC,,,no_page,,0
EPC/ERC page,POPL,2022,ERC,,,no_page,,0
EPC/ERC page,POPL,2023,ERC,,,no_page,,0
EPC/ERC page,POPL,2024,ERC,,,no_page,,0
EPC/ERC page,POPL,2025,ERC,,,no_page,,0
