plot_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,source_group,citation_count,total_citations,source_share,source_share_pct,pc_status_for_source
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-2,2021,PLDI,2.0,7.0,0.2857142857142857,28.57142857142857,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-1,2022,ICFP,3.0,12.0,0.25,25.0,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-1,2022,POPL,8.0,12.0,0.6666666666666666,66.66666666666666,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-1,2022,OOPSLA,0.0,12.0,0.0,0.0,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-1,2022,PLDI,1.0,12.0,0.08333333333333333,8.333333333333332,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,0,2023,ICFP,11.0,22.0,0.5,50.0,1.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,0,2023,POPL,4.0,22.0,0.18181818181818182,18.181818181818183,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,0,2023,OOPSLA,3.0,22.0,0.13636363636363635,13.636363636363635,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,0,2023,PLDI,4.0,22.0,0.18181818181818182,18.181818181818183,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,1,2024,ICFP,0.0,13.0,0.0,0.0,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,1,2024,POPL,6.0,13.0,0.46153846153846156,46.15384615384615,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,1,2024,OOPSLA,7.0,13.0,0.5384615384615384,53.84615384615385,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,1,2024,PLDI,0.0,13.0,0.0,0.0,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,2,2025,ICFP,1.0,12.0,0.08333333333333333,8.333333333333332,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,2,2025,POPL,6.0,12.0,0.5,50.0,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,2,2025,OOPSLA,5.0,12.0,0.4166666666666667,41.66666666666667,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,2,2025,PLDI,0.0,12.0,0.0,0.0,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-2,2017,ICFP,1.0,6.0,0.16666666666666666,16.666666666666664,0.0
