event_unit_id,researcher_id,name,conference,analysis_conference,pc_year,baseline_source_share,baseline_defined_years,pc_year_source_share,pc_year_delta_source_share,pc_year_citations,pc_year_total_studied_citations,pc_year_source_share_pct,pc_year_delta_source_share_pp
christosdimoulas1|ICFP|2019,christosdimoulas1,Christos Dimoulas,ICFP,ICFP,2019,0.9,1,0.23076923076923078,-0.6692307692307693,3.0,13.0,23.076923076923077,-66.92307692307693
christosdimoulas1|PLDI|2023,christosdimoulas1,Christos Dimoulas,PLDI,PLDI 2021 onward,2023,0.0,1,0.0,0.0,0.0,10.0,0.0,0.0
chungkilhur|POPL|2020,chungkilhur,Chung-Kil Hur,POPL,POPL,2020,0.3076923076923077,1,0.46938775510204084,0.16169544740973313,23.0,49.0,46.93877551020408,16.16954474097331
conradwatt|POPL|2023,conradwatt,Conrad Watt,POPL,POPL,2023,0.0,1,0.2,0.2,2.0,10.0,20.0,20.0
corinaspasareanu|POPL|2023,corinaspasareanu,Corina S. Pasareanu,POPL,POPL,2023,0.0,1,0.0,0.0,0.0,14.0,0.0,0.0
cristiancadar|PLDI|2021,cristiancadar,Cristian Cadar,PLDI,PLDI 2021 onward,2021,0.39285714285714285,1,0.6470588235294118,0.25420168067226895,11.0,17.0,64.70588235294117,25.420168067226896
cyrusomar|ICFP|2021,cyrusomar,Cyrus Omar,ICFP,ICFP,2021,0.5,1,0.0,-0.5,0.0,2.0,0.0,-50.0
cyrusomar|PLDI|2023,cyrusomar,Cyrus Omar,PLDI,PLDI 2021 onward,2023,1.0,1,0.0,-1.0,0.0,3.0,0.0,-100.0
damienpous|POPL|2023,damienpous,Damien Pous,POPL,POPL,2023,0.7142857142857143,1,0.6666666666666666,-0.04761904761904767,8.0,12.0,66.66666666666666,-4.761904761904767
danlicata|POPL|2023,danlicata,Daniel R. Licata,POPL,POPL,2023,0.25,1,0.0,-0.25,0.0,3.0,0.0,-25.0
darkomarinov|PLDI|2021,darkomarinov,Darko Marinov,PLDI,PLDI 2021 onward,2021,0.18181818181818182,1,0.08333333333333333,-0.0984848484848485,1.0,12.0,8.333333333333332,-9.84848484848485
davidbroman|POPL|2022,davidbroman,David Broman,POPL,POPL,2022,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0
davidiaugust|PLDI|2021,davidiaugust,David I. August,PLDI,PLDI 2021 onward,2021,0.25,1,1.0,0.75,3.0,3.0,100.0,75.0
davidpichardie|POPL|2023,davidpichardie,David Pichardie,POPL,POPL,2023,0.0,1,0.5,0.5,7.0,14.0,50.0,50.0
davidvanhorn|OOPSLA|2019,davidvanhorn,David Van Horn,OOPSLA,OOPSLA,2019,0.26666666666666666,1,0.45161290322580644,0.18494623655913978,14.0,31.0,45.16129032258064,18.494623655913976
davidvanhorn|POPL|2021,davidvanhorn,David Van Horn,POPL,POPL,2021,0.25806451612903225,1,0.34782608695652173,0.08976157082748948,8.0,23.0,34.78260869565217,8.976157082748948
deliakesner|ICFP|2023,deliakesner,Delia Kesner,ICFP,ICFP,2023,0.0,1,0.0,0.0,0.0,6.0,0.0,0.0
dimitriosvytiniotis|ICFP|2022,dimitriosvytiniotis,Dimitrios Vytiniotis,ICFP,ICFP,2022,0.46511627906976744,1,0.3103448275862069,-0.15477145148356053,9.0,29.0,31.03448275862069,-15.477145148356053
dimitrismitropoulos|PLDI|2023,dimitrismitropoulos,Dimitris Mitropoulos,PLDI,PLDI 2021 onward,2023,,0,,,0.0,0.0,,
dylanmcdermott1|ICFP|2023,dylanmcdermott1,Dylan McDermott,ICFP,ICFP,2023,0.0,1,1.0,1.0,3.0,3.0,100.0,100.0
edwinbrady|ICFP|2020,edwinbrady,Edwin Brady,ICFP,ICFP,2020,0.4,1,0.45454545454545453,0.05454545454545451,5.0,11.0,45.45454545454545,5.454545454545451
eijirosumii|ICFP|2021,eijirosumii,Eijiro Sumii,ICFP,ICFP,2021,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0
eijirosumii|POPL|2023,eijirosumii,Eijiro Sumii,POPL,POPL,2023,1.0,1,1.0,0.0,2.0,2.0,100.0,0.0
ekaterinakomendantskaya|POPL|2023,ekaterinakomendantskaya,Ekaterina Komendantskaya,POPL,POPL,2023,,0,1.0,,3.0,3.0,100.0,
elenazucca|POPL|2023,elenazucca,Elena Zucca,POPL,POPL,2023,,0,0.3333333333333333,,3.0,9.0,33.33333333333333,
eminatorlak|OOPSLA|2019,eminatorlak,Emina Torlak,OOPSLA,OOPSLA,2019,0.24,1,0.4,0.16000000000000003,12.0,30.0,40.0,16.000000000000004
eranyahav|POPL|2020,eranyahav,Eran Yahav,POPL,POPL,2020,0.2727272727272727,1,0.3050847457627119,0.03235747303543918,18.0,59.0,30.508474576271187,3.235747303543918
ericeide|PLDI|2023,ericeide,Eric Eide,PLDI,PLDI 2021 onward,2023,0.46153846153846156,1,0.55,0.08846153846153848,11.0,20.0,55.00000000000001,8.846153846153848
erickoskinen|OOPSLA|2019,erickoskinen,Eric Koskinen,OOPSLA,OOPSLA,2019,0.0,1,0.4,0.4,2.0,5.0,40.0,40.0
ericschkufza|PLDI|2022,ericschkufza,Eric Schkufza,PLDI,PLDI 2021 onward,2022,0.5833333333333334,1,0.7142857142857143,0.13095238095238093,5.0,7.0,71.42857142857143,13.095238095238093
ericvanwyk|OOPSLA|2019,ericvanwyk,Eric Van Wyk,OOPSLA,OOPSLA,2019,1.0,1,,,0.0,0.0,,
etanter|OOPSLA|2019,etanter,Éric Tanter,OOPSLA,OOPSLA,2019,0.3888888888888889,1,0.23529411764705882,-0.15359477124183007,8.0,34.0,23.52941176470588,-15.359477124183007
ezgicicek|ICFP|2019,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,0.16666666666666666,1,0.5833333333333334,0.41666666666666674,7.0,12.0,58.333333333333336,41.66666666666667
fanlong|POPL|2022,fanlong,Fan Long,POPL,POPL,2022,0.0,1,0.25,0.25,1.0,4.0,25.0,25.0
filipsieczkowski|POPL|2022,filipsieczkowski,Filip Sieczkowski,POPL,POPL,2022,0.3076923076923077,1,0.20833333333333334,-0.09935897435897437,5.0,24.0,20.833333333333336,-9.935897435897436
francescoranzato|POPL|2020,francescoranzato,Francesco Ranzato,POPL,POPL,2020,1.0,1,0.5555555555555556,-0.4444444444444444,5.0,9.0,55.55555555555556,-44.44444444444444
francescozappanardelli|OOPSLA|2019,francescozappanardelli,Francesco Zappa Nardelli,OOPSLA,OOPSLA,2019,0.47368421052631576,1,0.21875,-0.25493421052631576,7.0,32.0,21.875,-25.493421052631575
francescozappanardelli|POPL|2023,francescozappanardelli,Francesco Zappa Nardelli,POPL,POPL,2023,0.2413793103448276,1,0.1875,-0.0538793103448276,3.0,16.0,18.75,-5.38793103448276
frankpiessens|ICFP|2020,frankpiessens,Frank Piessens,ICFP,ICFP,2020,0.12121212121212122,1,0.16666666666666666,0.04545454545454544,4.0,24.0,16.666666666666664,4.545454545454544
freekverbeek|PLDI|2023,freekverbeek,Freek Verbeek,PLDI,PLDI 2021 onward,2023,,0,,,0.0,0.0,,
friedrichsteimann|OOPSLA|2019,friedrichsteimann,Friedrich Steimann,OOPSLA,OOPSLA,2019,,0,1.0,,2.0,2.0,100.0,
gabrielekeller|PLDI|2019,gabrielekeller,Gabriele Keller,PLDI,PLDI before 2021,2019,0.23809523809523808,1,0.09090909090909091,-0.14718614718614717,1.0,11.0,9.090909090909092,-14.718614718614717
gabrielradanne|ICFP|2023,gabrielradanne,Gabriel Radanne,ICFP,ICFP,2023,0.0,1,0.2,0.2,1.0,5.0,20.0,20.0
gabrielrodriguez|PLDI|2022,gabrielrodriguez,Gabriel Rodríguez,PLDI,PLDI 2021 onward,2022,,0,,,0.0,0.0,,
geoffreymainland|ICFP|2020,geoffreymainland,Geoffrey Mainland,ICFP,ICFP,2020,0.5714285714285714,1,0.0,-0.5714285714285714,0.0,2.0,0.0,-57.14285714285714
giuseppecastagna|POPL|2023,giuseppecastagna,Giuseppe Castagna,POPL,POPL,2023,0.5263157894736842,1,0.45454545454545453,-0.07177033492822965,10.0,22.0,45.45454545454545,-7.177033492822965
gowthamkaki|PLDI|2023,gowthamkaki,Gowtham Kaki,PLDI,PLDI 2021 onward,2023,0.5,1,1.0,0.5,2.0,2.0,100.0,50.0
hannahgommerstadt|ICFP|2023,hannahgommerstadt,Hannah Gommerstadt,ICFP,ICFP,2023,1.0,1,,,0.0,0.0,,
