canonical_researchr_id,pc_name,mapped_name_for_matching,query_source,candidate_rank,candidate_ref_author_name,manual_decision,manual_notes
andrzejmurawski,Andrzej Murawski,Andrzej Murawski,mapped_name,12,"Wasowski, Andrzej",,
angelicamoreira,Angelica Moreira,Angélica Aparecida Moreira,original_name,1,Nelma Moreira,,
angelicamoreira,Angelica Moreira,Angélica Aparecida Moreira,original_name,2,Angélica Romero,,
angelicamoreira,Angelica Moreira,Angélica Aparecida Moreira,original_name,3,Jose Moreira,,
angelicamoreira,Angelica Moreira,Angélica Aparecida Moreira,original_name,4,Angélica M. Osorno,,
anthonywidjajalin,Anthony Widjaja Lin,Anthony Widjaja Lin,original_name,1,"Lin, Anthony Widjaja",acceptandmerge,
anthonywidjajalin,Anthony Widjaja Lin,Anthony Widjaja Lin,mapped_name,2,"Lin, Anthony Widjaja",,
anthonywidjajalin,Anthony Widjaja Lin,Anthony Widjaja Lin,original_name,3,Anthony W. Lin,acceptandmerge,
anthonywidjajalin,Anthony Widjaja Lin,Anthony Widjaja Lin,mapped_name,4,Anthony W. Lin,,
anthonywidjajalin,Anthony Widjaja Lin,Anthony Widjaja Lin,original_name,5,Anthony Widjaja To,,
anthonywidjajalin,Anthony Widjaja Lin,Anthony Widjaja Lin,mapped_name,6,Anthony Widjaja To,,
anthonywidjajalin,Anthony Widjaja Lin,Anthony Widjaja Lin,original_name,7,"Lin, Anthony W.",acceptandmerge,
anthonywidjajalin,Anthony Widjaja Lin,Anthony Widjaja Lin,mapped_name,8,"Lin, Anthony W.",,
anthonywidjajalin,Anthony Widjaja Lin,Anthony Widjaja Lin,original_name,9,Anthony Danalis,,
anthonywidjajalin,Anthony Widjaja Lin,Anthony Widjaja Lin,mapped_name,10,Anthony Danalis,,
arielkellison,Ariel E. Kellison,Ariel E. Kellison,original_name,1,Ariel Kellison,acceptandmerge,
arielkellison,Ariel E. Kellison,Ariel E. Kellison,mapped_name,2,Ariel Kellison,,
arielkellison,Ariel E. Kellison,Ariel E. Kellison,original_name,3,"Kellison, Ariel",acceptandmerge,
arielkellison,Ariel E. Kellison,Ariel E. Kellison,mapped_name,4,"Kellison, Ariel",,
brentyorgey,Brent Yorgey,Brent Yorgey,original_name,1,Brent A. Yorgey,accept,
brentyorgey,Brent Yorgey,Brent Yorgey,mapped_name,2,Brent A. Yorgey,,
brentyorgey,Brent Yorgey,Brent Yorgey,original_name,3,Brent Komer,,
brentyorgey,Brent Yorgey,Brent Yorgey,mapped_name,4,Brent Komer,,
casperbach,Casper Bach,Casper Bach,original_name,1,"Bach, Casper",acceptandmerge,
casperbach,Casper Bach,Casper Bach,mapped_name,2,"Bach, Casper",,
casperbach,Casper Bach,Casper Bach,original_name,3,"Poulsen, Casper Bach",acceptandmerge,
casperbach,Casper Bach,Casper Bach,mapped_name,4,"Poulsen, Casper Bach",,
casperbach,Casper Bach,Casper Bach,original_name,5,Eric Bach,,
casperbach,Casper Bach,Casper Bach,mapped_name,6,Eric Bach,,
casperbach,Casper Bach,Casper Bach,original_name,7,Stephen Bach,,
casperbach,Casper Bach,Casper Bach,mapped_name,8,Stephen Bach,,
casperbach,Casper Bach,Casper Bach,original_name,9,Casper Bach Poulsen,acceptandmerge,
casperbach,Casper Bach,Casper Bach,mapped_name,10,Casper Bach Poulsen,,
casperbach,Casper Bach,Casper Bach,original_name,11,Moshe Bach,,
casperbach,Casper Bach,Casper Bach,mapped_name,12,Moshe Bach,,
colingordon,Colin Gordon,Colin Gordon,original_name,1,Colin S. Gordon,acceptandmerge,
colingordon,Colin Gordon,Colin Gordon,mapped_name,2,Colin S. Gordon,,
colingordon,Colin Gordon,Colin Gordon,original_name,3,"Gordon, Colin",acceptandmerge,
colingordon,Colin Gordon,Colin Gordon,mapped_name,4,"Gordon, Colin",,
colingordon,Colin Gordon,Colin Gordon,original_name,5,Donald Gordon,,
